TF,candidate_group,gremln_dense_rank,genie3_dense_rank,mrna_TCR_activation_status,mrna_TCR_activation_qual_timepoints,mrna_Incremental_BTLA_status,mrna_Incremental_BTLA_qual_timepoints,proteomics_status,proteomics_qual_timepoints,phosphoproteomics_status,phosphoproteomics_qual_timepoints
EZH2,GREmLN_specific,1,31,"measured, no qualifying signal",,"measured, no qualifying signal",,"measured, no qualifying signal",,absent from assay universe,
KIF22,GREmLN_specific,1,45,"measured, no qualifying signal",,"measured, no qualifying signal",,"measured, no qualifying signal",,absent from assay universe,
HIRIP3,GREmLN_specific,2,112,"measured, no qualifying signal",,"measured, no qualifying signal",,"measured, no qualifying signal",,qualifying association,2mn;24h
AHR,GREmLN_specific,2,43,absent from assay universe,,absent from assay universe,,absent from assay universe,,absent from assay universe,
HMGN3,GREmLN_specific,2,163,"measured, no qualifying signal",,"measured, no qualifying signal",,absent from assay universe,,absent from assay universe,
MLX,GREmLN_specific,2,121,"measured, no qualifying signal",,"measured, no qualifying signal",,absent from assay universe,,absent from assay universe,
RBPJ,GREmLN_specific,2,37,"measured, no qualifying signal",,"measured, no qualifying signal",,"measured, no qualifying signal",,absent from assay universe,
NFIL3,GREmLN_specific,2,60,"measured, no qualifying signal",,"measured, no qualifying signal",,absent from assay universe,,absent from assay universe,
STAU2,GREmLN_specific,2,47,"measured, no qualifying signal",,"measured, no qualifying signal",,"measured, no qualifying signal",,qualifying association,20mn;4h;24h
STAT4,GREmLN_specific,2,111,"measured, no qualifying signal",,"measured, no qualifying signal",,absent from assay universe,,absent from assay universe,
SNAPC4,GREmLN_specific,2,154,"measured, no qualifying signal",,"measured, no qualifying signal",,absent from assay universe,,absent from assay universe,
GTF3C2,GREmLN_specific,3,175,"measured, no qualifying signal",,"measured, no qualifying signal",,"measured, no qualifying signal",,qualifying association,4h
BCL3,GREmLN_specific,3,30,"measured, no qualifying signal",,"measured, no qualifying signal",,absent from assay universe,,absent from assay universe,
MSC,GREmLN_specific,3,46,absent from assay universe,,absent from assay universe,,absent from assay universe,,absent from assay universe,
SRP9,GREmLN_specific,3,175,"measured, no qualifying signal",,"measured, no qualifying signal",,"measured, no qualifying signal",,absent from assay universe,
TFDP1,GREmLN_specific,3,38,"measured, no qualifying signal",,"measured, no qualifying signal",,"measured, no qualifying signal",,qualifying association,4h
ZNF121,GREmLN_specific,3,175,"measured, no qualifying signal",,"measured, no qualifying signal",,absent from assay universe,,absent from assay universe,
ZNF706,GREmLN_specific,3,167,"measured, no qualifying signal",,"measured, no qualifying signal",,absent from assay universe,,absent from assay universe,
CREM,shared,2,18,"measured, no qualifying signal",,"measured, no qualifying signal",,absent from assay universe,,absent from assay universe,
STAT1,shared,2,6,"measured, no qualifying signal",,"measured, no qualifying signal",,"measured, no qualifying signal",,absent from assay universe,
JUNB,shared,3,2,qualifying association,1h;24h,"measured, no qualifying signal",,absent from assay universe,,absent from assay universe,
IRF8,shared,3,5,"measured, no qualifying signal",,"measured, no qualifying signal",,absent from assay universe,,absent from assay universe,
PLAGL2,shared,3,8,"measured, no qualifying signal",,"measured, no qualifying signal",,"measured, no qualifying signal",,absent from assay universe,
PRDM1,shared,3,25,qualifying association,4h,"measured, no qualifying signal",,absent from assay universe,,absent from assay universe,
ZBTB32,shared,3,9,"measured, no qualifying signal",,"measured, no qualifying signal",,absent from assay universe,,absent from assay universe,
EGR2,GENIE3_specific,6,1,qualifying association,1h;4h;24h,"measured, no qualifying signal",,absent from assay universe,,absent from assay universe,
FOXP1,GENIE3_specific,5,3,"measured, no qualifying signal",,"measured, no qualifying signal",,"measured, no qualifying signal",,absent from assay universe,
HIVEP3,GENIE3_specific,6,4,qualifying association,4h;24h,"measured, no qualifying signal",,absent from assay universe,,absent from assay universe,
BHLHE40,GENIE3_specific,5,7,"measured, no qualifying signal",,"measured, no qualifying signal",,absent from assay universe,,absent from assay universe,
CYCS,GENIE3_specific,5,10,"measured, no qualifying signal",,"measured, no qualifying signal",,"measured, no qualifying signal",,absent from assay universe,
MDM2,GENIE3_specific,7,11,"measured, no qualifying signal",,"measured, no qualifying signal",,absent from assay universe,,absent from assay universe,
GAR1,GENIE3_specific,4,12,"measured, no qualifying signal",,"measured, no qualifying signal",,"measured, no qualifying signal",,absent from assay universe,
MYC,GENIE3_specific,4,13,"measured, no qualifying signal",,"measured, no qualifying signal",,"measured, no qualifying signal",,qualifying association,4h;24h
ZEB2,GENIE3_specific,6,14,"measured, no qualifying signal",,"measured, no qualifying signal",,absent from assay universe,,absent from assay universe,
FOXM1,GENIE3_specific,4,15,"measured, no qualifying signal",,"measured, no qualifying signal",,absent from assay universe,,absent from assay universe,
SMAP2,GENIE3_specific,4,16,"measured, no qualifying signal",,"measured, no qualifying signal",,qualifying association,4h,absent from assay universe,
NR4A2,GENIE3_specific,4,17,"measured, no qualifying signal",,"measured, no qualifying signal",,absent from assay universe,,absent from assay universe,
ID2,GENIE3_specific,6,19,qualifying association,4h,"measured, no qualifying signal",,absent from assay universe,,absent from assay universe,
STAT5B,GENIE3_specific,8,20,"measured, no qualifying signal",,"measured, no qualifying signal",,qualifying association,20mn,absent from assay universe,
TRAF4,GENIE3_specific,6,21,"measured, no qualifying signal",,"measured, no qualifying signal",,absent from assay universe,,absent from assay universe,
GTF2A2,GENIE3_specific,4,22,"measured, no qualifying signal",,"measured, no qualifying signal",,absent from assay universe,,absent from assay universe,
TGIF1,GENIE3_specific,5,23,"measured, no qualifying signal",,"measured, no qualifying signal",,absent from assay universe,,absent from assay universe,
MAF,GENIE3_specific,7,24,failed quality control,,"measured, no qualifying signal",,absent from assay universe,,absent from assay universe,
