TF,candidate_group,gremln_dense_rank,genie3_dense_rank,in_gremln_top25,in_genie3_top25,measured_molecular_change,independent_molecular_association,directionally_interpretable_support,protein_status,protein_qualifying_timepoints,protein_primary_4h_qualifying,protein_acute_qualifying,phospho_status,phospho_qualifying_sites,phospho_qualifying_site_timepoints,phospho_acute_qualifying_sites,phospho_sustained_qualifying_sites,mrna_status,mrna_qualifying_timepoints,tf_activity_status,tf_activity_qualifying_timepoints,coip_presence,overall_independent_status
BHLHE40,GENIE3_specific,5,7,False,True,False,False,unresolved,absent_from_assay_universe,,False,False,absent_from_assay_universe,0,,0,0,measured_no_qualifying_signal,,measured_no_qualifying_signal,,not_detected,no_independent_qualifying_signal
CYCS,GENIE3_specific,5,10,False,True,False,False,unresolved,measured_no_qualifying_signal,,False,False,absent_from_assay_universe,0,,0,0,measured_no_qualifying_signal,,absent_from_assay_universe,,not_detected,no_independent_qualifying_signal
EGR2,GENIE3_specific,6,1,False,True,False,False,unresolved,absent_from_assay_universe,,False,False,absent_from_assay_universe,0,,0,0,measured_no_qualifying_signal,,measured_qualifying,4h,not_detected,no_independent_qualifying_signal
FOXM1,GENIE3_specific,4,15,False,True,False,False,unresolved,absent_from_assay_universe,,False,False,absent_from_assay_universe,0,,0,0,measured_no_qualifying_signal,,measured_qualifying,24h,not_detected,no_independent_qualifying_signal
FOXP1,GENIE3_specific,5,3,False,True,False,False,unresolved,measured_no_qualifying_signal,,False,False,absent_from_assay_universe,0,,0,0,measured_no_qualifying_signal,,measured_no_qualifying_signal,,not_detected,no_independent_qualifying_signal
GAR1,GENIE3_specific,4,12,False,True,False,False,unresolved,measured_no_qualifying_signal,,False,False,absent_from_assay_universe,0,,0,0,measured_no_qualifying_signal,,absent_from_assay_universe,,detected_intensity_only,no_independent_qualifying_signal
GTF2A2,GENIE3_specific,4,22,False,True,False,False,unresolved,absent_from_assay_universe,,False,False,absent_from_assay_universe,0,,0,0,measured_no_qualifying_signal,,absent_from_assay_universe,,not_detected,no_independent_qualifying_signal
HIVEP3,GENIE3_specific,6,4,False,True,False,False,unresolved,absent_from_assay_universe,,False,False,absent_from_assay_universe,0,,0,0,measured_no_qualifying_signal,,measured_qualifying,4h,not_detected,no_independent_qualifying_signal
ID2,GENIE3_specific,6,19,False,True,False,False,unresolved,absent_from_assay_universe,,False,False,absent_from_assay_universe,0,,0,0,measured_no_qualifying_signal,,measured_no_qualifying_signal,,not_detected,no_independent_qualifying_signal
MAF,GENIE3_specific,7,24,False,True,False,False,unresolved,absent_from_assay_universe,,False,False,absent_from_assay_universe,0,,0,0,measured_no_qualifying_signal,,measured_no_qualifying_signal,,not_detected,no_independent_qualifying_signal
MDM2,GENIE3_specific,7,11,False,True,False,False,unresolved,absent_from_assay_universe,,False,False,absent_from_assay_universe,0,,0,0,measured_no_qualifying_signal,,absent_from_assay_universe,,not_detected,no_independent_qualifying_signal
MYC,GENIE3_specific,4,13,False,True,True,True,unresolved,measured_no_qualifying_signal,,False,False,measured_qualifying,3,REDACTED_sites,0,3,measured_no_qualifying_signal,,measured_qualifying,1h,not_detected,independent_association_direction_unresolved
NR4A2,GENIE3_specific,4,17,False,True,False,False,unresolved,absent_from_assay_universe,,False,False,absent_from_assay_universe,0,,0,0,measured_no_qualifying_signal,,measured_no_qualifying_signal,,not_detected,no_independent_qualifying_signal
SMAP2,GENIE3_specific,4,16,False,True,True,True,unresolved,measured_qualifying,4h,True,False,absent_from_assay_universe,0,,0,0,measured_no_qualifying_signal,,absent_from_assay_universe,,not_detected,independent_association_direction_unresolved
STAT5B,GENIE3_specific,8,20,False,True,True,True,unresolved,measured_qualifying,20mn,False,True,absent_from_assay_universe,0,,0,0,measured_no_qualifying_signal,,measured_qualifying,4h,not_detected,independent_association_direction_unresolved
TGIF1,GENIE3_specific,5,23,False,True,False,False,unresolved,absent_from_assay_universe,,False,False,absent_from_assay_universe,0,,0,0,measured_no_qualifying_signal,,measured_no_qualifying_signal,,not_detected,no_independent_qualifying_signal
TRAF4,GENIE3_specific,6,21,False,True,False,False,unresolved,absent_from_assay_universe,,False,False,absent_from_assay_universe,0,,0,0,measured_no_qualifying_signal,,absent_from_assay_universe,,not_detected,no_independent_qualifying_signal
ZEB2,GENIE3_specific,6,14,False,True,False,False,unresolved,absent_from_assay_universe,,False,False,absent_from_assay_universe,0,,0,0,measured_no_qualifying_signal,,measured_no_qualifying_signal,,not_detected,no_independent_qualifying_signal
AHR,GREmLN_specific,2,43,True,False,False,False,unresolved,absent_from_assay_universe,,False,False,absent_from_assay_universe,0,,0,0,absent_from_assay_universe,,measured_no_qualifying_signal,,not_detected,no_independent_qualifying_signal
BCL3,GREmLN_specific,3,30,True,False,False,False,unresolved,absent_from_assay_universe,,False,False,absent_from_assay_universe,0,,0,0,measured_no_qualifying_signal,,measured_no_qualifying_signal,,not_detected,no_independent_qualifying_signal
EZH2,GREmLN_specific,1,31,True,False,False,False,unresolved,measured_no_qualifying_signal,,False,False,absent_from_assay_universe,0,,0,0,measured_no_qualifying_signal,,measured_qualifying,4h,not_detected,no_independent_qualifying_signal
GTF3C2,GREmLN_specific,3,175,True,False,True,True,unresolved,measured_no_qualifying_signal,,False,False,measured_qualifying,1,REDACTED_sites,0,1,measured_no_qualifying_signal,,absent_from_assay_universe,,not_detected,independent_association_direction_unresolved
HIRIP3,GREmLN_specific,2,112,True,False,True,True,unresolved,measured_no_qualifying_signal,,False,False,measured_qualifying,2,REDACTED_sites,1,1,measured_no_qualifying_signal,,absent_from_assay_universe,,not_detected,independent_association_direction_unresolved
HMGN3,GREmLN_specific,2,163,True,False,False,False,unresolved,absent_from_assay_universe,,False,False,absent_from_assay_universe,0,,0,0,measured_no_qualifying_signal,,absent_from_assay_universe,,not_detected,no_independent_qualifying_signal
KIF22,GREmLN_specific,1,45,True,False,False,False,unresolved,measured_no_qualifying_signal,,False,False,absent_from_assay_universe,0,,0,0,measured_no_qualifying_signal,,absent_from_assay_universe,,not_detected,no_independent_qualifying_signal
MLX,GREmLN_specific,2,121,True,False,False,False,unresolved,absent_from_assay_universe,,False,False,absent_from_assay_universe,0,,0,0,measured_no_qualifying_signal,,measured_no_qualifying_signal,,not_detected,no_independent_qualifying_signal
MSC,GREmLN_specific,3,46,True,False,False,False,unresolved,absent_from_assay_universe,,False,False,absent_from_assay_universe,0,,0,0,absent_from_assay_universe,,measured_no_qualifying_signal,,not_detected,no_independent_qualifying_signal
NFIL3,GREmLN_specific,2,60,True,False,False,False,unresolved,absent_from_assay_universe,,False,False,absent_from_assay_universe,0,,0,0,measured_no_qualifying_signal,,measured_no_qualifying_signal,,not_detected,no_independent_qualifying_signal
RBPJ,GREmLN_specific,2,37,True,False,False,False,unresolved,measured_no_qualifying_signal,,False,False,absent_from_assay_universe,0,,0,0,measured_no_qualifying_signal,,measured_no_qualifying_signal,,not_detected,no_independent_qualifying_signal
SNAPC4,GREmLN_specific,2,154,True,False,False,False,unresolved,absent_from_assay_universe,,False,False,absent_from_assay_universe,0,,0,0,measured_no_qualifying_signal,,absent_from_assay_universe,,not_detected,no_independent_qualifying_signal
SRP9,GREmLN_specific,3,175,True,False,False,False,unresolved,measured_no_qualifying_signal,,False,False,absent_from_assay_universe,0,,0,0,measured_no_qualifying_signal,,absent_from_assay_universe,,not_detected,no_independent_qualifying_signal
STAT4,GREmLN_specific,2,111,True,False,False,False,unresolved,absent_from_assay_universe,,False,False,absent_from_assay_universe,0,,0,0,measured_no_qualifying_signal,,measured_no_qualifying_signal,,not_detected,no_independent_qualifying_signal
STAU2,GREmLN_specific,2,47,True,False,True,True,unresolved,measured_no_qualifying_signal,,False,False,measured_qualifying,5,REDACTED_sites,2,3,measured_no_qualifying_signal,,absent_from_assay_universe,,not_detected,independent_association_direction_unresolved
TFDP1,GREmLN_specific,3,38,True,False,True,True,unresolved,measured_no_qualifying_signal,,False,False,measured_qualifying,1,REDACTED_sites,0,1,measured_no_qualifying_signal,,measured_no_qualifying_signal,,not_detected,independent_association_direction_unresolved
ZNF121,GREmLN_specific,3,175,True,False,False,False,unresolved,absent_from_assay_universe,,False,False,absent_from_assay_universe,0,,0,0,measured_no_qualifying_signal,,absent_from_assay_universe,,not_detected,no_independent_qualifying_signal
ZNF706,GREmLN_specific,3,167,True,False,False,False,unresolved,absent_from_assay_universe,,False,False,absent_from_assay_universe,0,,0,0,measured_no_qualifying_signal,,absent_from_assay_universe,,not_detected,no_independent_qualifying_signal
CREM,shared,2,18,True,True,False,False,unresolved,absent_from_assay_universe,,False,False,absent_from_assay_universe,0,,0,0,measured_no_qualifying_signal,,measured_qualifying,1h,not_detected,no_independent_qualifying_signal
IRF8,shared,3,5,True,True,False,False,unresolved,absent_from_assay_universe,,False,False,absent_from_assay_universe,0,,0,0,measured_no_qualifying_signal,,measured_no_qualifying_signal,,not_detected,no_independent_qualifying_signal
JUNB,shared,3,2,True,True,False,False,unresolved,absent_from_assay_universe,,False,False,absent_from_assay_universe,0,,0,0,measured_no_qualifying_signal,,measured_qualifying,4h,not_detected,no_independent_qualifying_signal
PLAGL2,shared,3,8,True,True,False,False,unresolved,measured_no_qualifying_signal,,False,False,absent_from_assay_universe,0,,0,0,measured_no_qualifying_signal,,measured_no_qualifying_signal,,not_detected,no_independent_qualifying_signal
PRDM1,shared,3,25,True,True,False,False,unresolved,absent_from_assay_universe,,False,False,absent_from_assay_universe,0,,0,0,measured_no_qualifying_signal,,measured_qualifying,4h,not_detected,no_independent_qualifying_signal
STAT1,shared,2,6,True,True,False,False,unresolved,measured_no_qualifying_signal,,False,False,absent_from_assay_universe,0,,0,0,measured_no_qualifying_signal,,measured_qualifying,1h;24h;4h,not_detected,no_independent_qualifying_signal
ZBTB32,shared,3,9,True,True,False,False,unresolved,absent_from_assay_universe,,False,False,absent_from_assay_universe,0,,0,0,measured_no_qualifying_signal,,measured_no_qualifying_signal,,not_detected,no_independent_qualifying_signal
