TF,candidate_group,final_usable_tier,confidence,papers_returned,papers_relevant,relevant_primary_papers,direct_causal_papers,key_eligible_paper_ids,tier_rationale,entity_audit_status,human_verification_status
EGR2,genie3_only,strong,high,10,4,4,2,PMC3501351;PMC5439026;PMC5946152;PMC2944839,"PMC3501351 is a primary experimental study providing direct perturbational evidence that Egr2 deletion prevents T cell anergy induction (a TCR-linked hyporesponsive state) and restores proximal Ras/MAPK signalling via DGKα, satisfying the r",clean (no acronym collision),pending
PRDM1,shared,strong,moderate,10,1,1,1,PMC9097451,"One primary experimental study in human primary T cells (PMC9097451) provides direct perturbational evidence (both PRDM1 overexpression and reduced expression) that PRDM1 drives T cell hyporesponsiveness, with mechanistic readouts (chromati",clean (no acronym collision),pending
FOXM1,genie3_only,moderate,moderate,10,3,3,0,PMC12515241;PMC9561767,"Two primary studies (PMC12515241, PMC9561767) provide perturbational evidence (FOXM1 knockdown/inhibition) that FOXM1 upregulates the PD-L1 inhibitory checkpoint and thereby suppresses CD8+ T cell activation and function, with functional re",clean (no acronym collision),pending
FOXP1,genie3_only,moderate,moderate,10,4,3,3,PMC6534289;PMC12487849;PMC13105002,"Multiple primary mouse studies provide direct perturbational (genetic deletion) evidence that FOXP1 promotes regulatory T cell suppressive function and homeostasis, including CTLA-4 regulation. This is causal evidence in a related inhibitor",clean (no acronym collision),pending
MYC,genie3_only,moderate,low,10,1,1,0,PMC9360539,"Only one retrieved primary study (PMC9360539) materially connects MYC to an inhibitory T cell context, providing indirect mechanistic evidence that TGFbeta suppresses CD8+ T cell activation by limiting Myc-dependent metabolic reprogramming.",clean (no acronym collision),pending
ZEB2,genie3_only,moderate,moderate,10,1,1,0,PMC12456470,"One primary study (PMC12456470) provides causal/perturbational evidence that ZEB2 upregulates the PD-L1 inhibitory checkpoint and functionally suppresses T cell activation, cytokine secretion, and TIL activity. However, ZEB2 acts tumor-cell",clean (no acronym collision),pending
AHR,gremln_only,moderate,moderate,10,2,2,1,PMC7419300;PMC3412388,"PMC7419300 is a primary study with direct perturbational evidence (AHR blockade) that AHR promotes an inhibitory checkpoint/Treg suppressive axis, including PD-1 up-regulation in CD8+ T cells, but it lacks a proximal TCR-signalling readout,",clean (no acronym collision),pending
BCL3,gremln_only,moderate,moderate,10,4,3,3,PMC5414353;PMC12646068;PMC2660861,"Primary murine studies give direct perturbational (overexpression/CRISPR) evidence that Bcl-3 impairs Treg development/function and drives loss of tolerance (colitis, autoimmune diabetes), i.e. causal effects in a related inhibitory T cell ",clean (no acronym collision),pending
EZH2,gremln_only,moderate,moderate,10,2,1,1,PMC6094952,"Only one primary study (PMC6094952) addresses T cells: genetic and pharmacologic EZH2 disruption causally reprograms the suppressive program of tumor-infiltrating Tregs, i.e., causal evidence in a related inhibitory T cell context. However ",clean (no acronym collision),pending
NFIL3,gremln_only,moderate,moderate,10,2,2,1,PMC11563780;PMC6802641,"No primary study provides direct causal evidence that altering NFIL3 changes proximal TCR signalling inhibition, so strong is excluded. However, PMC11563780 provides perturbational (knockout) evidence causally linking NFIL3 to expression of",clean (no acronym collision),pending
CREM,shared,moderate,low,10,1,1,0,PMC5165720;PMC12286855,"Only one primary T cell study (PMC5165720) materially links CREM to proximal TCR machinery, showing direct CREMα binding and repression of the CD3ζ chain plus negative IL-2 regulation. This provides indirect mechanistic evidence connecting ","flagged non-key (1 wrong_entity, 0 ambiguous); tier unaffected",pending
JUNB,shared,moderate,moderate,10,2,2,2,PMC11884676;PMC11496645,"Two primary studies materially link JunB to inhibitory T cell phenotypes: JunB deficiency raises co-inhibitory receptors PD-1/TIM3 in mouse CD8+ T cells (PMC11884676), and JunB perturbation drives CAR-T exhaustion/anergy gene programs (PMC1",clean (no acronym collision),pending
